area_sqm,bedrooms,building_age_years,price
42,1,0,202275
59,3,13,287075
76,5,26,363250
93,2,39,338050
110,4,11,473675
127,1,24,439850
144,3,37,524650
161,5,9,660275
57,2,22,247875
74,4,35,324050
91,1,7,349675
108,3,20,434475
125,5,33,510650
142,2,5,544900
159,4,18,621075
55,1,31,200050
72,3,3,344300
89,5,16,420475
106,2,29,395275
123,4,1,530900
140,1,14,497075
157,3,27,581875
53,5,40,270850
70,2,12,296475
87,4,25,381275
104,1,38,347450
121,3,10,491700
138,5,23,567875
155,2,36,534050
51,4,8,291100
68,1,21,257275
85,3,34,342075
102,5,6,477700
119,2,19,443875
136,4,32,528675
153,1,4,554300
49,3,17,251900
66,5,30,328075
83,2,2,353700
100,4,15,438500
117,1,28,404675
134,3,0,548925
151,5,13,625100
47,2,26,204075
64,4,39,288875
81,1,11,314500
98,3,24,390675
115,5,37,475475
132,2,9,501100
149,4,22,585900
45,1,35,164875
62,3,7,300500
79,5,20,385300
96,2,33,351475
113,4,5,495725
130,1,18,461900
147,3,31,538075
43,5,3,295125
60,2,16,261300
77,4,29,346100
94,1,1,371725
111,3,14,447900
128,5,27,532700
145,2,40,498875
162,4,12,643125
58,1,25,222100
75,3,38,298275
92,5,10,442525
109,2,23,408700
126,4,36,484875
143,1,8,519125
160,3,21,595300
56,5,34,292900
73,2,6,318525
90,4,19,394700
107,1,32,369500
124,3,4,505125
141,5,17,589925
158,2,30,556100
54,4,2,304525
71,1,15,279325
88,3,28,355500
105,5,0,499750
122,2,13,465925
139,4,26,542100
156,1,39,516900
52,3,11,265325
69,5,24,350125
86,2,37,316300
103,4,9,451925
120,1,22,426725
137,3,35,502900
154,5,7,638525
50,2,20,226125
67,4,33,302300
84,1,5,336550
101,3,18,412725
118,5,31,488900
135,2,3,523150
152,4,16,599325
48,1,29,186925
65,3,1,322550
82,5,14,398725
99,2,27,373525
116,4,40,449700
133,1,12,483950
150,3,25,560125
46,5,38,249100
63,2,10,283350
80,4,23,359525
97,1,36,334325
114,3,8,469950
131,5,21,546125
148,2,34,520925
44,4,6,269350
61,1,19,235525
78,3,32,320325
95,5,4,455950
112,2,17,430750
129,4,30,506925
